"filename", "language", "TypeScript", "JSON with Comments", "JSON", "HTML", "SCSS", "Markdown", "XML", "JavaScript", "SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.html", "HTML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.scss", "SCSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 4, 15, 95
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.scss", "SCSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/newsletter-form-data.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/note.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/portfolio-item.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
