"filename", "language", "SCSS", "XML", "TypeScript", "HTML", "JSON with Comments", "JSON", "Markdown", "JavaScript", "SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.scss", "SCSS", 76, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 95
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.html", "HTML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.scss", "SCSS", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/login/login.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/user-roles.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/models/user.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 6, 46
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.scss", "SCSS", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 114
